scenario,component,armA,armB,metric,favorableDirection,meanA,meanB,differenceAminusB,ci95Lo,ci95Hi,nPairs,complete,favorableInterval
n5-moderate-bg30,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,MEAN_NODE_GOODPUT_HZ,higher,8.61611111111111,9.785,-1.16888888888889,-1.26666007161687,-1.07111770616091,30,1,0
n5-moderate-bg30,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,MIN_NODE_GOODPUT_HZ,higher,7.75277777777778,7.79166666666667,-0.038888888888889,-0.240838032567877,0.163060254790099,30,1,0
n5-moderate-bg30,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,MAX_STARVATION_SEC,lower,0.5295,0.426733333333333,0.102766666666667,0.073178531804942,0.132354801528391,30,1,0
n5-moderate-bg30,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,RMSE,lower,0.0774180098539576,0.0664054695818824,0.0110125402720751,0.00959656117777219,0.0124285193663781,30,1,0
n5-moderate-bg30,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,OFFERED_UTIL,lower,0.523055555555535,0.58096666666664,-0.0579111111111047,-0.0611974124193397,-0.0546248098028697,30,1,1
n5-moderate-bg30,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,MEAN_TRUE_AOI,lower,0.111441311958725,0.0926172839506172,0.0188240280081077,0.0161459864578549,0.0215020695583605,30,1,0
n5-moderate-bg30,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,MEAN_NODE_GOODPUT_HZ,higher,8.61611111111111,9.62166666666667,-1.00555555555556,-1.1060428717909,-0.90506823932021,30,1,0
n5-moderate-bg30,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,MIN_NODE_GOODPUT_HZ,higher,7.75277777777778,7.94444444444444,-0.191666666666667,-0.3644663019394,-0.0188670313939336,30,1,0
n5-moderate-bg30,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,MAX_STARVATION_SEC,lower,0.5295,0.438233333333334,0.0912666666666664,0.0536965427082832,0.12883679062505,30,1,0
n5-stressed-bg30,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,RMSE,lower,0.0828305278607625,0.109975330624105,-0.0271448027633425,-0.0305681689633083,-0.0237214365633768,30,1,1
n5-stressed-bg30,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,OFFERED_UTIL,lower,0.644999999999966,0.754644444444398,-0.109644444444432,-0.115838619781901,-0.103450269106964,30,1,1
n5-stressed-bg30,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,MEAN_TRUE_AOI,lower,0.121422517044407,0.164531048461397,-0.0431085314169892,-0.0492792835241912,-0.0369377793097872,30,1,1
n5-stressed-bg30,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,MEAN_NODE_GOODPUT_HZ,higher,9.565,7.015,2.55,2.43176037089554,2.66823962910446,30,1,1
n5-stressed-bg30,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,MIN_NODE_GOODPUT_HZ,higher,6.96388888888889,5.10277777777778,1.86111111111111,1.6343045836608,2.08791763856142,30,1,1
n5-stressed-bg30,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,MAX_STARVATION_SEC,lower,0.581033333333333,0.793433333333333,-0.2124,-0.268246690068055,-0.156553309931945,30,1,1
n5-stressed-bg30,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,RMSE,lower,0.0795082086183732,0.0828305278607625,-0.00332231924238933,-0.0047816685651538,-0.00186296991962486,30,1,1
