seed,scenario,scenarioLabel,N,candidateCount,admittedCandidateCount,eligibleCandidateCount,ACK_STANDALONE,ACK_ENTRIES_DELIVERED,ADAPTIVE_ACK_PERMITTED,DIVERGED,INVARIANT_VIOLATIONS,MAX_QUEUE,MAX_HISTORY,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CONFIG_HASH
16019053,n5-csma,N5 CSMA,5,65,65,26,65,747,65,0,0,2,32,667043758556,21209589484,152862148
16019053,n10-ring2,N10 ring2,10,78,78,32,78,1692,78,0,0,2,32,2586334446460,84937363160,161813424
16019053,n20-ring2,N20 ring2,20,3,3,0,3,1945,3,0,0,2,32,10198660052540,339833155914,187625288
16019053,n5-aloha,N5 ALOHA,5,319,319,106,319,414,319,0,0,2,32,667043758556,21209589484,153304656
16019054,n5-csma,N5 CSMA,5,61,61,19,61,747,61,0,0,2,32,667346927867,21202496827,152862150
16019054,n10-ring2,N10 ring2,10,67,67,23,67,1674,67,0,0,2,32,2586846664766,84908692853,161813426
16019054,n20-ring2,N20 ring2,20,1,1,1,1,1937,1,0,0,2,32,10200402752262,339867761353,187625290
16019054,n5-aloha,N5 ALOHA,5,295,295,122,295,357,295,0,0,2,32,667346927867,21202496827,153304658
16019055,n5-csma,N5 CSMA,5,61,61,22,61,726,61,0,0,2,32,666611018709,21180554660,152862152
16019055,n10-ring2,N10 ring2,10,86,86,32,86,1663,86,0,0,2,32,2585907347391,84902160656,161813428
16019055,n20-ring2,N20 ring2,20,0,0,0,0,1832,0,0,0,1,32,10197153898337,339892942270,187625292
16019055,n5-aloha,N5 ALOHA,5,306,306,119,306,376,306,0,0,2,32,666611018709,21180554660,153304660
16019056,n5-csma,N5 CSMA,5,56,56,23,56,745,56,0,0,2,32,666646572486,21209550107,152862154
16019056,n10-ring2,N10 ring2,10,83,83,36,83,1616,83,0,0,2,32,2585489859340,84918871183,161813430
16019056,n20-ring2,N20 ring2,20,1,1,0,1,1933,1,0,0,1,32,10197311466587,339983690507,187625294
16019056,n5-aloha,N5 ALOHA,5,341,341,112,341,440,341,0,0,2,32,666646572486,21209550107,153304662
16019057,n5-csma,N5 CSMA,5,58,58,20,58,752,58,0,0,2,32,667199794721,21202391242,152862156
16019057,n10-ring2,N10 ring2,10,67,67,29,67,1647,67,0,0,2,32,2586261325712,84904032515,161813432
16019057,n20-ring2,N20 ring2,20,3,3,0,3,1830,3,0,0,2,32,10199969588477,339862044715,187625296
16019057,n5-aloha,N5 ALOHA,5,331,331,117,329,462,331,0,0,2,32,667199794721,21202391242,153304664
16019058,n5-csma,N5 CSMA,5,69,69,29,69,752,69,0,0,2,32,666786642241,21202720640,152862158
16019058,n10-ring2,N10 ring2,10,89,89,39,89,1656,89,0,0,2,32,2586146989430,84934080118,161813434
