seed,method,fault,topology,scenario,RMSE,MINEVAL,PEAKERR,RECOVERY,PEAKAOI,NDATA,NACK,MISSION,SAFEFAIL,MINSEPFAULT,TXFAULT,CONNECTED,ISOLATED,LAMBDA2
20,P10,perm 10%,ring2,Stressed,0.779686293580425,0.335007670841487,1.72424888139428,NaN,2.74333333333333,14400,0,30,0,0.335007670841487,480,1,0,0.498132719947257
1,P20,perm 10%,ring2,Stressed,0.786611861532847,0.284399185378964,1.60741073934722,NaN,2.67791666666667,28800,0,30,0,0.284399185378964,960,1,0,0.498132719947257
2,P20,perm 10%,ring2,Stressed,0.751061315209962,0.317580246404997,1.73250086923434,NaN,2.68375,28800,0,30,0,0.317580246404997,960,1,0,0.498132719947257
3,P20,perm 10%,ring2,Stressed,0.837508589570281,0.243227122229202,1.93043482258579,NaN,2.68041666666667,28800,0,30,1,0.243227122229202,960,1,0,0.498132719947257
4,P20,perm 10%,ring2,Stressed,0.810703775997182,0.285162748198541,1.77329897798517,NaN,2.67833333333333,28800,0,30,0,0.285162748198541,960,1,0,0.498132719947257
5,P20,perm 10%,ring2,Stressed,0.819094956935862,0.335158393369016,1.73718494009796,NaN,2.68083333333333,28800,0,30,0,0.335158393369016,960,1,0,0.498132719947257
6,P20,perm 10%,ring2,Stressed,0.638447633214987,0.372949834586264,1.63323221233346,NaN,2.68333333333333,28800,0,30,0,0.372949834586264,960,1,1,0.388347279660592
7,P20,perm 10%,ring2,Stressed,0.798075621826806,0.33506048348652,1.60945844954565,NaN,2.695,28800,0,30,0,0.33506048348652,960,1,0,0.498132719947257
8,P20,perm 10%,ring2,Stressed,0.666380697175329,0.246542569932015,1.25472023158746,NaN,2.675,28800,0,30,1,0.246542569932015,960,1,0,0.498132719947257
9,P20,perm 10%,ring2,Stressed,0.739277553589246,0.361398766306229,1.81723038947692,NaN,2.68458333333333,28800,0,30,0,0.361398766306229,960,1,0,0.498132719947257
10,P20,perm 10%,ring2,Stressed,0.716181591874385,0.406272021718759,1.580832083205,NaN,2.67,28800,0,30,0,0.406272021718759,960,1,0,0.407474483253731
11,P20,perm 10%,ring2,Stressed,0.705213155352172,0.277062016845051,1.62169501460123,NaN,2.67833333333333,28800,0,30,0,0.277062016845051,960,1,0,0.418971095511657
12,P20,perm 10%,ring2,Stressed,0.778139452561774,0.398075772745027,1.84190602167215,NaN,2.67625,28800,0,30,0,0.398075772745027,960,1,0,0.401173109843566
13,P20,perm 10%,ring2,Stressed,0.877712990515135,0.461228091343247,1.90452967777675,NaN,3.29541666666667,28800,0,30,0,0.461228091343247,960,1,0,0.498132719947257
14,P20,perm 10%,ring2,Stressed,0.718859232808695,0.382029972661722,1.85090297905893,NaN,2.68666666666667,28800,0,30,0,0.382029972661722,960,1,0,0.415540688582631
15,P20,perm 10%,ring2,Stressed,0.716303950335848,0.348612986978831,1.75386364126941,NaN,2.67916666666667,28800,0,30,0,0.348612986978831,960,1,0,0.498132719947257
