seed,commRateHz,packetLoss,delay,RMSE,MAXERR,MINFULL,MINEVAL,PDR,AOI,ARRIVAL,TXRATE,SAFETYFAIL,FORMATIONFAIL
19,10,0.2,0.12,0.118901188490259,0.155390830184511,0.23816345307901,0.449476353333435,0.8075,0.193462004238571,0.8025,120,0,1
20,10,0.2,0.12,0.121072203711681,0.160720181732775,0.243365788486755,0.451418743004058,0.7975,0.196148955495005,0.791666666666667,120,0,1
1,20,0.2,0.12,0.0976615842965803,0.1245778413035,0.250592488450283,0.478547955956843,0.802222222222222,0.158356039963669,0.798055555555556,240,0,0
2,20,0.2,0.12,0.0972936152501585,0.124412916538582,0.251415068506147,0.47635671632519,0.804861111111111,0.15776264002422,0.80125,240,0,0
3,20,0.2,0.12,0.0968720768178885,0.124083043217957,0.25247042701714,0.477839716111992,0.802777777777778,0.157876173175901,0.798472222222222,240,0,0
4,20,0.2,0.12,0.0974102577395772,0.124637017439903,0.246803838554092,0.475530586643082,0.805694444444444,0.158019981834696,0.801944444444444,240,0,0
5,20,0.2,0.12,0.0976988488813907,0.124860917500684,0.248908429544651,0.476884154186234,0.799722222222222,0.158318195579776,0.795416666666667,240,0,0
6,20,0.2,0.12,0.0979155452603749,0.126995515102309,0.248785079441156,0.477795054451961,0.799305555555555,0.158521041477445,0.794583333333333,240,0,0
7,20,0.2,0.12,0.0970828830421599,0.12348070251558,0.250737878332871,0.478842992458723,0.801666666666667,0.157620345140781,0.797361111111111,240,0,0
8,20,0.2,0.12,0.0972871412064397,0.125632342713556,0.247602600207105,0.477771444717994,0.8025,0.157818649712383,0.798888888888889,240,0,0
9,20,0.2,0.12,0.097677646623307,0.124843847734585,0.251359948396086,0.478274533141833,0.795,0.158841961852861,0.790694444444444,240,0,0
10,20,0.2,0.12,0.0977375186697707,0.124571093516869,0.245921288061358,0.477820552858806,0.799305555555555,0.15840902210112,0.796388888888889,240,0,0
11,20,0.2,0.12,0.0972752726754159,0.123723584465228,0.250760773780509,0.476819671253129,0.806666666666667,0.158112322131396,0.802777777777778,240,0,0
12,20,0.2,0.12,0.0985221752515514,0.128119883231412,0.250041808501211,0.475444925132274,0.791944444444444,0.158852558280351,0.7875,240,0,0
13,20,0.2,0.12,0.0970711605881142,0.123126637238429,0.250268099046197,0.480186088195774,0.801944444444444,0.15763851044505,0.797638888888889,240,0,0
14,20,0.2,0.12,0.0969614812070152,0.123875710100784,0.248674058564676,0.476972098246475,0.806666666666667,0.15756736300333,0.802361111111111,240,0,0
15,20,0.2,0.12,0.097244665576636,0.123797844003381,0.250352362447307,0.477545224892962,0.799722222222222,0.157755071147442,0.795416666666667,240,0,0
16,20,0.2,0.12,0.0978201066978325,0.124678692108481,0.250197760871218,0.477551823482909,0.799166666666667,0.158402966999697,0.794861111111111,240,0,0
17,20,0.2,0.12,0.0972782323868949,0.124136846092677,0.252796633255208,0.476206102496663,0.804166666666667,0.157773236451711,0.8,240,0,0
18,20,0.2,0.12,0.0970275258380644,0.123454668618492,0.251573277907539,0.478747968098266,0.805555555555556,0.157411444141689,0.802222222222222,240,0,0
19,20,0.2,0.12,0.0973746759724964,0.127143038278232,0.2513826258805,0.478384841917602,0.798611111111111,0.157721768089615,0.794861111111111,240,0,0
20,20,0.2,0.12,0.0972982182587471,0.123704321511969,0.244310128146422,0.480199446109151,0.8,0.157827732364517,0.796111111111111,240,0,0
1,5,0.4,0.12,0.21101464035074,0.292753141940508,0.232426790772655,0.336544497666373,0.603333333333333,0.345437481077808,0.599444444444444,60,0,1
2,5,0.4,0.12,0.212458468069062,0.325894600903096,0.196222576571935,0.324392497072479,0.608333333333333,0.347662730850742,0.605555555555556,60,0,1
3,5,0.4,0.12,0.213821011496006,0.282377476074673,0.227891168871574,0.323628230821503,0.591111111111111,0.360938540720557,0.587222222222222,60,0,1
4,5,0.4,0.12,0.209480621607028,0.28078021577957,0.217302777709638,0.334532213400007,0.583888888888889,0.359818346957312,0.579444444444444,60,0,1
5,5,0.4,0.12,0.209096779797139,0.304390175666771,0.215797362606631,0.343755350700686,0.587777777777778,0.358698153194066,0.584444444444444,60,0,1
6,5,0.4,0.12,0.210534349837287,0.276658354162187,0.236059122300872,0.338610700864729,0.595555555555556,0.354792612776264,0.590555555555556,60,0,1
7,5,0.4,0.12,0.221241245241072,0.313458503048328,0.235267246500474,0.339243936306976,0.586666666666667,0.369022101120194,0.582222222222222,60,0,1
8,5,0.4,0.12,0.210873023329042,0.293215362046397,0.238561554968708,0.343202284451674,0.607222222222222,0.348359067514381,0.603333333333333,60,0,1
9,5,0.4,0.12,0.211502734735379,0.304235790340013,0.192792079732371,0.316867072801878,0.617222222222222,0.348934302149561,0.612777777777778,60,0,1
10,5,0.4,0.12,0.218337200160882,0.31383499222668,0.162625098366768,0.289096133845722,0.579444444444444,0.368961550105964,0.575,60,0,1
11,5,0.4,0.12,0.211670836680989,0.291433133903077,0.174985691428342,0.316977378231355,0.591666666666667,0.352098092643052,0.588333333333333,60,0,1
12,5,0.4,0.12,0.217230845636306,0.317911402311765,0.201506712288259,0.320763075626915,0.591666666666667,0.358440811383591,0.587777777777778,60,0,1
13,5,0.4,0.12,0.212279385547527,0.316612705142372,0.228384629765209,0.300355368583542,0.595555555555556,0.354535270965789,0.591111111111111,60,0,1
14,5,0.4,0.12,0.213669122461828,0.301076550390781,0.160885683537799,0.355698865623637,0.592222222222222,0.353732970027248,0.588333333333333,60,0,1
15,5,0.4,0.12,0.211836573554149,0.291168126258701,0.18067676678262,0.330221508388859,0.602777777777778,0.350675143808659,0.598333333333333,60,0,1
16,5,0.4,0.12,0.206535817754082,0.301127358422407,0.21539258341775,0.333450219635217,0.608333333333333,0.344771419921284,0.603888888888889,60,0,1
17,5,0.4,0.12,0.20385462749143,0.297685570864312,0.228059825423106,0.315170029830727,0.606666666666667,0.341668180442023,0.602777777777778,60,0,1
18,5,0.4,0.12,0.207533925063125,0.288256226094687,0.234579624754113,0.32968465547247,0.622222222222222,0.347284287011807,0.618333333333333,60,0,1
19,5,0.4,0.12,0.201887072769059,0.284314902728872,0.217961838424811,0.319435531064655,0.593888888888889,0.345180139267333,0.588888888888889,60,0,1
20,5,0.4,0.12,0.203822587982004,0.306536244203154,0.213416869107617,0.354784191285283,0.603888888888889,0.345997577959431,0.601111111111111,60,0,1
